FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,W/L
48,106,45.3,14,41,34.1,21,26,80.8,15,38,53,26,6,3,17,25,-5,114.9,116.2,-1.3,54.2,1.53,30.6,83.3,53.6,14.9,51.9,55.8,104.6,42.4,0
53,96,55.2,21,43,48.8,16,27,59.3,12,41,53,33,1,5,16,26,5,132.4,125.5,7,62.3,2.06,36.2,77.2,58.7,14.8,66.1,66.3,90.21,50.5,1
32,95,33.7,13,49,26.5,24,28,85.7,14,32,46,23,9,2,14,24,-17,95.3,110.3,-15,71.9,1.64,25,68,43.9,13.2,40.5,47.1,106.5,37.1,0
46,86,53.5,12,32,37.5,8,12,66.7,6,30,36,25,9,4,18,25,-6,110.9,116.8,-5.9,54.3,1.39,23.8,74.4,49.4,17.8,60.5,61.3,101,47.1,0
32,99,32.3,9,35,25.7,15,16,93.8,16,27,43,20,6,8,17,21,-39,84.6,119.8,-35.2,62.5,1.18,28.4,64,43.6,16.3,36.9,41.5,105,25.3,0
46,84,54.8,18,42,42.9,19,22,86.4,5,31,36,34,7,5,19,18,12,124,112.5,11.5,73.9,1.79,19.5,67.3,45.6,18.3,65.5,68.9,104,61.1,1
50,97,51.5,19,39,48.7,22,30,73.3,15,37,52,32,8,4,10,15,23,135.6,112.4,23.2,64,3.2,33.3,76.9,55.3,9.6,61.3,64,104.5,58.5,1
42,94,44.7,13,36,36.1,23,25,92,9,33,42,30,5,5,9,22,-10,116.5,125,-8.5,71.4,3.33,23.1,68.5,46.2,8.7,51.6,57.1,103.5,46,0
40,97,41.2,8,38,21.1,24,27,88.9,14,30,44,19,5,2,13,26,-17,108.7,125.2,-16.5,47.5,1.46,32.2,72.7,49.5,12.6,45.4,51.4,103,36.4,0
43,98,43.9,8,37,21.6,17,26,65.4,13,40,53,27,9,4,10,21,4,109.9,105.9,4,62.8,2.7,32.8,75.5,52.6,9.9,48,50.7,101,52.8,1
41,85,48.2,16,35,45.7,31,35,88.6,6,35,41,22,8,6,16,27,5,117.3,112.7,4.5,53.7,1.38,17,65.6,44.4,14.5,57.6,64.2,110,52.4,1
36,84,42.9,13,34,38.2,20,25,80,9,29,38,24,11,5,17,26,-22,101.9,121,-19,66.7,1.41,20,61.2,40.4,16.5,50.6,55.3,104,39.9,0
47,88,53.4,16,37,43.2,16,17,94.1,4,27,31,33,5,5,12,18,-9,127.3,136.4,-9.1,70.2,2.75,19,60.4,41.1,12.1,62.5,66,99,46.4,0
49,108,45.4,14,40,35,28,31,90.3,11,39,50,29,9,8,15,24,5,115.7,110.7,5,59.2,1.93,27.9,65.6,46.7,12.4,51.9,57.5,100.55,51.9,1
35,86,40.7,13,39,33.3,24,26,92.3,12,34,46,21,7,8,14,21,-5,108.1,113.1,-5.1,60,1.5,28.8,71.7,50.5,14.1,48.3,54.9,99,47.5,0
43,82,52.4,13,32,40.6,28,30,93.3,7,37,44,23,7,4,21,22,7,116.5,109.1,7.4,53.5,1.1,22.5,78.4,53.8,19.3,60.4,66.7,109.5,55.3,1
42,84,50,12,30,40,19,21,90.5,6,26,32,22,9,6,17,19,-8,113.9,121.8,-7.9,52.4,1.29,23.3,70.5,47.1,16.8,57.1,61.7,101,46.2,0
37,91,40.7,10,33,30.3,16,21,76.2,10,40,50,19,6,4,11,15,-23,99,123,-24,51.4,1.73,24.1,78.4,49.5,10.9,46.2,49.9,100.5,39.5,0
42,87,48.3,11,35,31.4,32,37,86.5,10,38,48,29,5,4,16,29,10,117.6,108.3,9.3,69,1.81,23.4,82.4,54.1,14.8,54.6,61.5,108,52.9,1
